time	V(n001)	V(n004)	V(n008)
1.008153302549521e-003	5.000000e+000	2.425513e+000	4.076651e+000
1.008566962777242e-003	5.000000e+000	2.254154e+000	4.283482e+000
1.009172679544557e-003	5.000000e+000	2.009919e+000	4.586340e+000
1.010000000000000e-003	5.000000e+000	1.696937e+000	5.000000e+000
1.010082732045544e-003	5.000000e+000	1.671336e+000	5.000000e+000
1.010248196136633e-003	5.000000e+000	1.623349e+000	5.000000e+000
1.010579124318810e-003	5.000000e+000	1.538056e+000	5.000000e+000
1.010902295685923e-003	5.000000e+000	1.469647e+000	5.000000e+000
1.011548638420150e-003	5.000000e+000	1.372105e+000	5.000000e+000
1.012841323888603e-003	5.000000e+000	1.251110e+000	5.000000e+000
1.014111594462631e-003	5.000000e+000	1.189014e+000	5.000000e+000
1.015319429508688e-003	5.000000e+000	1.163332e+000	5.000000e+000
1.016359595437125e-003	5.000000e+000	1.153377e+000	5.000000e+000
1.017375030680134e-003	5.000000e+000	1.148818e+000	5.000000e+000
1.018488788219027e-003	5.000000e+000	1.146352e+000	5.000000e+000
1.019523992724865e-003	5.000000e+000	1.145220e+000	5.000000e+000
1.020573976193287e-003	5.000000e+000	1.144663e+000	5.000000e+000
1.021568512498044e-003	5.000000e+000	1.144399e+000	5.000000e+000
1.022592206948545e-003	5.000000e+000	1.144263e+000	5.000000e+000
1.023587707936561e-003	5.000000e+000	1.144195e+000	5.000000e+000
1.024604367308687e-003	5.000000e+000	1.144160e+000	5.000000e+000
1.025599696937528e-003	5.000000e+000	1.144143e+000	5.000000e+000
1.026609916273950e-003	5.000000e+000	1.144134e+000	5.000000e+000
1.027605734812691e-003	5.000000e+000	1.144130e+000	5.000000e+000
1.028612662767172e-003	5.000000e+000	1.144127e+000	5.000000e+000
1.029609559803007e-003	5.000000e+000	1.144126e+000	5.000000e+000
1.030614419003629e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.031612204073235e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.032615714522475e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.033614238855643e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.034616863365720e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.035615957607935e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.036617978554957e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.037617498878014e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.038619102659454e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.039618938310755e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.040620248000723e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.041620317850399e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.042621413433982e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.043621664000606e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.044622591874872e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.045622998136555e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.046623771083821e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.047624345364578e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.048624929833688e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.049625747179167e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.050626027373379e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.051627285567721e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.052626980179687e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.053629134217040e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.054642622398763e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.055746060676332e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.057082790481289e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.058638260740393e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.063134460587324e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.066678944916591e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.072068804580113e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.081724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.091724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.101724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.111724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
