time	V(n001)	V(n006)	V(n011)
1.028612662767172e-003	5.000000e+000	5.000000e+000	3.162215e-003
1.029609559803007e-003	5.000000e+000	5.000000e+000	2.149128e-003
1.030614419003629e-003	5.000000e+000	5.000000e+000	1.456471e-003
1.031612204073235e-003	5.000000e+000	5.000000e+000	9.895287e-004
1.032615714522475e-003	5.000000e+000	5.000000e+000	6.709208e-004
1.033614238855643e-003	5.000000e+000	5.000000e+000	4.557020e-004
1.034616863365720e-003	5.000000e+000	5.000000e+000	3.090708e-004
1.035615957607935e-003	5.000000e+000	5.000000e+000	2.098835e-004
1.036617978554957e-003	5.000000e+000	5.000000e+000	1.423794e-004
1.037617498878014e-003	5.000000e+000	5.000000e+000	9.667213e-005
1.038619102659454e-003	5.000000e+000	5.000000e+000	6.558948e-005
1.039618938310755e-003	5.000000e+000	5.000000e+000	4.452862e-005
1.040620248000723e-003	5.000000e+000	5.000000e+000	3.021465e-005
1.041620317850399e-003	5.000000e+000	5.000000e+000	2.051098e-005
1.042621413433982e-003	5.000000e+000	5.000000e+000	1.391868e-005
1.043621664000606e-003	5.000000e+000	5.000000e+000	9.447986e-006
1.044622591874872e-003	5.000000e+000	5.000000e+000	6.411768e-006
1.045622998136555e-003	5.000000e+000	5.000000e+000	4.352063e-006
1.046623771083821e-003	5.000000e+000	5.000000e+000	2.953657e-006
1.047624345364578e-003	5.000000e+000	5.000000e+000	2.004712e-006
1.048624929833688e-003	5.000000e+000	5.000000e+000	1.360665e-006
1.049625747179167e-003	5.000000e+000	5.000000e+000	9.234365e-007
1.050626027373379e-003	5.000000e+000	5.000000e+000	6.268513e-007
1.051627285567721e-003	5.000000e+000	5.000000e+000	4.253585e-007
1.052626980179687e-003	5.000000e+000	5.000000e+000	2.888202e-007
1.053629134217040e-003	5.000000e+000	5.000000e+000	1.960136e-007
1.054642622398763e-003	5.000000e+000	5.000000e+000	1.328094e-007
1.055746060676332e-003	5.000000e+000	5.000000e+000	8.758083e-008
1.057082790481289e-003	5.000000e+000	5.000000e+000	5.313257e-008
1.058638260740393e-003	5.000000e+000	5.000000e+000	2.979609e-008
1.063134460587324e-003	5.000000e+000	5.000000e+000	5.831931e-009
1.066678944916591e-003	5.000000e+000	5.000000e+000	1.724700e-009
1.072068804580113e-003	5.000000e+000	5.000000e+000	3.089956e-010
1.081724561304052e-003	5.000000e+000	5.000000e+000	5.399321e-011
1.091724561304052e-003	5.000000e+000	5.000000e+000	5.601213e-011
1.101724561304052e-003	5.000000e+000	5.000000e+000	5.545615e-011
1.111724561304052e-003	5.000000e+000	5.000000e+000	5.563550e-011
1.121724561304052e-003	5.000000e+000	5.000000e+000	5.557949e-011
1.131724561304052e-003	5.000000e+000	5.000000e+000	5.559704e-011
1.141724561304052e-003	5.000000e+000	5.000000e+000	5.559154e-011
1.151724561304052e-003	5.000000e+000	5.000000e+000	5.559326e-011
1.161724561304052e-003	5.000000e+000	5.000000e+000	5.559272e-011
1.171724561304052e-003	5.000000e+000	5.000000e+000	5.559289e-011
1.181724561304052e-003	5.000000e+000	5.000000e+000	5.559284e-011
1.191724561304052e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.201724561304052e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.211724561304052e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.221724561304052e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.231724561304052e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.241724561304052e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.251724561304052e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.261724561304052e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.271724561304052e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.281724561304052e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.291724561304053e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.301724561304053e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.311724561304053e-003	5.000000e+000	5.000000e+000	5.559286e-011
1.321724561304053e-003	5.000000e+000	5.000000e+000	5.559287e-011
1.331724561304053e-003	5.000000e+000	5.000000e+000	5.559287e-011
1.341724561304053e-003	5.000000e+000	5.000000e+000	5.559287e-011
1.351724561304053e-003	5.000000e+000	5.000000e+000	5.559287e-011
1.361724561304053e-003	5.000000e+000	5.000000e+000	5.559287e-011
1.371724561304053e-003	5.000000e+000	5.000000e+000	5.559287e-011
1.381724561304053e-003	5.000000e+000	5.000000e+000	5.559287e-011
1.391724561304053e-003	5.000000e+000	5.000000e+000	5.559287e-011
1.401724561304053e-003	5.000000e+000	5.000000e+000	5.559287e-011
1.411724561304053e-003	5.000000e+000	5.000000e+000	5.559287e-011
1.421724561304053e-003	5.000000e+000	5.000000e+000	5.559287e-011
1.431724561304053e-003	5.000000e+000	5.000000e+000	5.559288e-011
1.441724561304053e-003	5.000000e+000	5.000000e+000	5.559288e-011
1.451724561304053e-003	5.000000e+000	5.000000e+000	5.559288e-011
1.461724561304053e-003	5.000000e+000	5.000000e+000	5.559288e-011
1.471724561304053e-003	5.000000e+000	5.000000e+000	5.559288e-011
1.481724561304053e-003	5.000000e+000	5.000000e+000	5.559288e-011
1.491724561304053e-003	5.000000e+000	5.000000e+000	5.559372e-011
1.500000000000000e-003	5.000000e+000	5.000000e+000	5.559396e-011
1.510000000000000e-003	5.000000e+000	5.000000e+000	4.898265e-011
1.510198709681142e-003	5.000000e+000	4.900645e+000	-5.402967e-010
1.510596129043424e-003	5.000000e+000	4.701935e+000	-1.745404e-009
1.511390967767989e-003	5.000000e+000	4.304516e+000	-3.977707e-009
1.512270375230898e-003	5.000000e+000	3.864812e+000	-6.005099e-009
1.513826647990555e-003	5.000000e+000	3.086676e+000	-9.043201e-009
1.515370838745146e-003	5.000000e+000	2.314581e+000	9.252431e-006
1.515803606820001e-003	5.000000e+000	2.098197e+000	8.944459e-005
1.515989948042333e-003	5.000000e+000	2.005026e+000	2.797674e-004
1.516085265862778e-003	5.000000e+000	1.957367e+000	5.441676e-004
1.516178560960571e-003	5.000000e+000	1.910720e+000	1.013224e-003
1.516283734047120e-003	5.000000e+000	1.858133e+000	1.845044e-003
1.516431264605693e-003	5.000000e+000	1.784368e+000	3.641018e-003
1.516626846606932e-003	5.000000e+000	1.686577e+000	7.322332e-003
1.516892975500646e-003	5.000000e+000	1.553512e+000	1.509246e-002
1.517241512558542e-003	5.000000e+000	1.379244e+000	3.095985e-002
1.517730852732740e-003	5.000000e+000	1.134574e+000	6.572507e-002
1.518400449468074e-003	5.000000e+000	7.997752e-001	1.362657e-001
